frame,timestamp,observation_id,x_px,y_px,score,color,measurement_valid
219,7.3,candidate_0,395.6136,225.2869,0.86,red,1
219,7.3,candidate_1,461.4416,287.0596,0.8,red,1
220,7.333333,candidate_0,393.3151,227.7636,0.86,red,1
220,7.333333,candidate_1,463.1833,283.6094,0.8,red,1
220,7.333333,candidate_2,91.5968,396.6068,0.65,blue,1
221,7.366667,candidate_0,391.4947,227.3093,0.86,red,1
221,7.366667,candidate_1,465.8444,287.2118,0.8,red,1
222,7.4,candidate_0,389.2075,229.4923,0.86,red,1
222,7.4,candidate_1,464.3552,290.8114,0.8,red,1
223,7.433333,candidate_0,388.1709,229.2651,0.86,red,1
223,7.433333,candidate_1,467.9518,292.4588,0.8,red,1
224,7.466667,candidate_0,386.4421,226.7027,0.86,red,1
224,7.466667,candidate_1,467.5439,293.1525,0.8,red,1
225,7.5,candidate_0,385.6852,230.6624,0.86,red,1
225,7.5,candidate_1,466.611,299.2217,0.8,red,1
226,7.533333,candidate_0,383.4672,228.4826,0.86,red,1
226,7.533333,candidate_1,469.5193,298.4565,0.8,red,1
227,7.566667,candidate_0,382.5366,229.418,0.86,red,1
227,7.566667,candidate_1,472.0608,302.4327,0.8,red,1
228,7.6,candidate_0,380.4325,230.7687,0.86,red,1
228,7.6,candidate_1,471.0341,302.2053,0.8,red,1
229,7.633333,candidate_0,379.1032,230.8397,0.86,red,1
229,7.633333,candidate_1,472.5053,308.2433,0.8,red,1
230,7.666667,candidate_0,378.11,230.9446,0.86,red,1
230,7.666667,candidate_1,476.023,303.0492,0.8,red,1
231,7.7,candidate_0,377.9602,229.7407,0.86,red,1
231,7.7,candidate_1,474.6747,311.9097,0.8,red,1
231,7.7,candidate_2,97.79,382.3197,0.65,blue,1
232,7.733333,candidate_0,374.7597,231.8743,0.86,red,1
232,7.733333,candidate_1,475.0786,310.3293,0.8,red,1
233,7.766667,candidate_0,373.3303,231.5784,0.86,red,1
233,7.766667,candidate_1,477.6683,316.7793,0.8,red,1
234,7.8,candidate_0,370.1181,233.6035,0.86,red,1
234,7.8,candidate_1,475.8178,318.5797,0.8,red,1
235,7.833333,candidate_0,368.8118,233.8744,0.86,red,1
235,7.833333,candidate_1,480.3253,318.2505,0.8,red,1
236,7.866667,candidate_0,368.2558,233.2212,0.86,red,1
236,7.866667,candidate_1,479.5089,319.2109,0.8,red,1
237,7.9,candidate_0,369.1542,232.61,0.86,red,1
237,7.9,candidate_1,482.8917,321.9945,0.8,red,1
238,7.933333,candidate_0,367.7273,233.9974,0.86,red,1
238,7.933333,candidate_1,482.9384,320.1058,0.8,red,1
239,7.966667,candidate_0,366.3388,233.4584,0.86,red,1
239,7.966667,candidate_1,488.1993,322.1984,0.8,red,1
240,8.0,candidate_1,319.5181,185.8956,0.88,red,1
240,8.0,candidate_2,83.8513,392.7472,0.65,blue,1
241,8.033333,candidate_1,315.7266,180.3117,0.88,red,1
241,8.033333,candidate_2,84.0755,391.2602,0.65,blue,1
242,8.066667,candidate_1,311.3492,179.0737,0.88,red,1
242,8.066667,candidate_2,95.3585,382.5794,0.65,blue,1
243,8.1,candidate_1,307.3781,170.977,0.88,red,1
243,8.1,candidate_2,90.6365,395.5077,0.65,blue,1
244,8.133333,candidate_1,298.8308,171.5916,0.88,red,1
244,8.133333,candidate_2,82.507,397.6274,0.65,blue,1
245,8.166667,candidate_1,299.6719,169.2407,0.88,red,1
245,8.166667,candidate_2,83.5129,382.3636,0.65,blue,1
246,8.2,candidate_1,292.0711,165.1706,0.88,red,1
246,8.2,candidate_2,97.7677,397.9507,0.65,blue,1
247,8.233333,candidate_1,289.3024,162.3225,0.95,red,1
247,8.233333,candidate_2,85.6902,383.8337,0.65,blue,1
248,8.266667,candidate_1,284.894,157.1323,0.88,red,1
248,8.266667,candidate_2,83.1787,391.4456,0.65,blue,1
249,8.3,candidate_1,280.6039,158.8231,0.88,red,1
249,8.3,candidate_2,90.9887,394.466,0.65,blue,1
250,8.333333,candidate_1,274.581,155.9786,0.88,red,1
250,8.333333,candidate_2,92.2292,391.3347,0.65,blue,1
251,8.366667,candidate_1,274.6488,153.1538,0.88,red,1
251,8.366667,candidate_2,85.2839,385.7136,0.65,blue,1
252,8.4,candidate_1,269.271,153.9044,0.88,red,1
252,8.4,candidate_2,96.8651,390.2336,0.65,blue,1
253,8.433333,candidate_1,271.2033,150.8745,0.88,red,1
253,8.433333,candidate_2,91.8542,385.9051,0.65,blue,1
254,8.466667,candidate_1,270.3257,146.3944,0.88,red,1
254,8.466667,candidate_2,90.7834,392.602,0.65,blue,1
255,8.5,candidate_1,266.7209,148.2708,0.88,red,1
255,8.5,candidate_2,87.4006,393.9292,0.65,blue,1
256,8.533333,candidate_1,261.6009,143.8802,0.88,red,1
256,8.533333,candidate_2,93.1949,387.2451,0.65,blue,1
257,8.566667,candidate_1,263.7176,143.3769,0.88,red,1
257,8.566667,candidate_2,90.1717,393.2028,0.65,blue,1
258,8.6,candidate_1,262.9387,142.4975,0.88,red,1
258,8.6,candidate_2,89.7328,390.6837,0.65,blue,1
259,8.633333,candidate_1,260.702,139.632,0.88,red,1
259,8.633333,candidate_2,94.1538,383.7965,0.65,blue,1
260,8.666667,candidate_1,259.5096,137.5981,0.88,red,1
260,8.666667,candidate_2,97.763,391.9771,0.65,blue,1
261,8.7,candidate_1,264.2326,136.7235,0.88,red,1
261,8.7,candidate_2,85.2476,384.078,0.65,blue,1
262,8.733333,candidate_1,263.9823,139.0357,0.88,red,1
262,8.733333,candidate_2,97.1214,382.4531,0.65,blue,1
263,8.766667,candidate_1,264.5248,134.3873,0.88,red,1
263,8.766667,candidate_2,87.7941,386.9482,0.65,blue,1
264,8.8,candidate_1,266.5156,136.4259,0.88,red,1
264,8.8,candidate_2,83.2991,383.867,0.65,blue,1
265,8.833333,candidate_1,267.6817,138.0688,0.88,red,1
265,8.833333,candidate_2,97.5562,385.8806,0.65,blue,1
266,8.866667,candidate_1,269.1029,136.33,0.95,red,1
266,8.866667,candidate_2,91.9163,383.929,0.65,blue,1
267,8.9,candidate_1,271.1609,133.5632,0.88,red,1
267,8.9,candidate_2,90.6305,385.9863,0.65,blue,1
268,8.933333,candidate_1,277.4457,135.6955,0.88,red,1
268,8.933333,candidate_2,96.1786,389.0844,0.65,blue,1
269,8.966667,candidate_1,276.1935,137.2851,0.88,red,1
269,8.966667,candidate_2,93.9695,387.2168,0.65,blue,1
270,9.0,candidate_0,363.7456,268.4086,0.86,red,1
270,9.0,candidate_1,284.4371,132.7989,0.88,red,1
271,9.033333,candidate_0,366.707,270.2107,0.86,red,1
271,9.033333,candidate_1,286.9267,136.6841,0.88,red,1
272,9.066667,candidate_0,365.6814,270.0132,0.86,red,1
272,9.066667,candidate_1,293.125,134.5136,0.88,red,1
273,9.1,candidate_0,367.7402,270.3374,0.86,red,1
273,9.1,candidate_1,294.731,142.0893,0.88,red,1
274,9.133333,candidate_0,372.4406,272.0844,0.86,red,1
274,9.133333,candidate_1,299.3477,141.0122,0.88,red,1
275,9.166667,candidate_0,371.0364,272.3597,0.86,red,1
275,9.166667,candidate_1,300.8806,138.9386,0.88,red,1
275,9.166667,candidate_2,89.6879,383.8193,0.65,blue,1
276,9.2,candidate_0,369.6859,271.193,0.86,red,1
276,9.2,candidate_1,307.4623,137.5711,0.88,red,1
277,9.233333,candidate_0,373.2722,272.2773,0.86,red,1
277,9.233333,candidate_1,311.8364,140.4071,0.88,red,1
278,9.266667,candidate_0,372.9753,271.7606,0.86,red,1
278,9.266667,candidate_1,315.9552,144.0548,0.88,red,1
279,9.3,candidate_0,375.0352,271.6165,0.86,red,1
279,9.3,candidate_1,321.543,146.1821,0.88,red,1
280,9.333333,candidate_0,372.5501,272.2427,0.86,red,1
280,9.333333,candidate_1,326.3038,147.4507,0.88,red,1
281,9.366667,candidate_0,377.0544,275.7693,0.86,red,1
281,9.366667,candidate_1,330.3575,150.2777,0.88,red,1
282,9.4,candidate_0,378.2876,271.5525,0.86,red,1
282,9.4,candidate_1,332.5725,154.3878,0.88,red,1
283,9.433333,candidate_0,379.8047,270.692,0.86,red,1
283,9.433333,candidate_1,340.076,151.0302,0.88,red,1
284,9.466667,candidate_0,379.5988,272.9196,0.86,red,1
284,9.466667,candidate_1,339.8988,160.5294,0.88,red,1
285,9.5,candidate_0,378.9143,273.2865,0.86,red,1
285,9.5,candidate_1,344.1301,157.8726,0.95,red,1
286,9.533333,candidate_0,380.2821,274.2891,0.86,red,1
286,9.533333,candidate_1,346.0015,157.9898,0.88,red,1
286,9.533333,candidate_2,87.2201,388.1971,0.65,blue,1
287,9.566667,candidate_0,382.8593,276.65,0.86,red,1
287,9.566667,candidate_1,350.2891,161.876,0.88,red,1
288,9.6,candidate_0,383.5206,275.9845,0.86,red,1
288,9.6,candidate_1,350.1555,160.5992,0.88,red,1
289,9.633333,candidate_0,385.7885,274.6133,0.86,red,1
289,9.633333,candidate_1,352.1925,164.6107,0.88,red,1
290,9.666667,candidate_0,386.9382,274.5195,0.86,red,1
290,9.666667,candidate_1,357.9057,170.5403,0.88,red,1
291,9.7,candidate_0,389.1241,272.7269,0.86,red,1
291,9.7,candidate_1,354.1468,171.5041,0.88,red,1
292,9.733333,candidate_0,386.2075,274.2396,0.86,red,1
292,9.733333,candidate_1,355.0985,174.5003,0.88,red,1
293,9.766667,candidate_0,391.185,274.9326,0.86,red,1
293,9.766667,candidate_1,353.9829,176.1272,0.88,red,1
294,9.8,candidate_0,391.0438,274.5738,0.86,red,1
294,9.8,candidate_1,356.377,181.1171,0.88,red,1
295,9.833333,candidate_0,389.9597,274.4389,0.86,red,1
295,9.833333,candidate_1,356.7576,185.5437,0.88,red,1
296,9.866667,candidate_0,394.1757,275.6518,0.86,red,1
296,9.866667,candidate_1,356.2073,182.0715,0.88,red,1
297,9.9,candidate_0,392.9501,274.7897,0.86,red,1
297,9.9,candidate_1,353.4178,187.9628,0.88,red,1
297,9.9,candidate_2,83.7441,392.6499,0.65,blue,1
298,9.933333,candidate_0,394.7078,274.3205,0.86,red,1
298,9.933333,candidate_1,355.4559,194.0531,0.88,red,1
299,9.966667,candidate_0,396.3269,277.5426,0.86,red,1
299,9.966667,candidate_1,353.3891,190.8455,0.88,red,1
300,10.0,candidate_0,395.953,273.4397,0.86,red,1
300,10.0,candidate_1,350.3845,197.3695,0.88,red,1
301,10.033333,candidate_0,396.7506,274.3491,0.86,red,1
301,10.033333,candidate_1,348.6173,196.3897,0.88,red,1
302,10.066667,candidate_0,397.8055,274.029,0.86,red,1
302,10.066667,candidate_1,345.6253,201.1479,0.88,red,1
303,10.1,candidate_0,398.8221,274.5758,0.86,red,1
303,10.1,candidate_1,338.466,204.0199,0.88,red,1
304,10.133333,candidate_0,400.4153,272.9212,0.86,red,1
304,10.133333,candidate_1,337.2142,203.7668,0.95,red,1
305,10.166667,candidate_0,399.8,274.2138,0.86,red,1
305,10.166667,candidate_1,334.2463,206.381,0.88,red,1
306,10.2,candidate_0,403.27,273.1392,0.86,red,1
306,10.2,candidate_1,332.8126,214.1274,0.88,red,1
307,10.233333,candidate_0,401.8487,273.0214,0.86,red,1
307,10.233333,candidate_1,327.3561,212.301,0.88,red,1
308,10.266667,candidate_0,404.5206,273.5453,0.86,red,1
308,10.266667,candidate_1,321.9308,212.6896,0.88,red,1
308,10.266667,candidate_2,82.2413,390.2706,0.65,blue,1
309,10.3,candidate_0,405.4674,272.4838,0.86,red,1
309,10.3,candidate_1,320.3575,214.1246,0.88,red,1
310,10.333333,candidate_0,404.4507,271.3618,0.86,red,1
310,10.333333,candidate_1,314.9499,219.184,0.88,red,1
311,10.366667,candidate_0,407.7585,272.0956,0.86,red,1
311,10.366667,candidate_1,312.6908,217.0681,0.88,red,1
312,10.4,candidate_0,409.0679,272.3654,0.86,red,1
312,10.4,candidate_1,307.3004,221.4255,0.88,red,1
313,10.433333,candidate_0,407.462,270.2376,0.86,red,1
313,10.433333,candidate_1,302.39,222.3512,0.88,red,1
314,10.466667,candidate_0,408.0592,270.5992,0.86,red,1
314,10.466667,candidate_1,296.0298,222.1814,0.88,red,1
315,10.5,candidate_0,410.486,269.3242,0.86,red,1
315,10.5,candidate_1,292.2009,220.976,0.88,red,1
316,10.533333,candidate_0,408.9126,268.6263,0.86,red,1
316,10.533333,candidate_1,290.9275,224.9575,0.88,red,1
317,10.566667,candidate_0,411.2821,270.276,0.86,red,1
317,10.566667,candidate_1,284.6018,222.4576,0.88,red,1
318,10.6,candidate_0,413.2825,270.4553,0.86,red,1
318,10.6,candidate_1,280.2104,226.7602,0.88,red,1
319,10.633333,candidate_0,413.2447,269.9932,0.86,red,1
319,10.633333,candidate_1,279.4798,223.2168,0.88,red,1
319,10.633333,candidate_2,87.422,389.8569,0.65,blue,1
320,10.666667,candidate_0,412.4986,268.8406,0.86,red,1
320,10.666667,candidate_1,273.3581,228.0206,0.88,red,1
321,10.7,candidate_0,414.4594,270.8734,0.86,red,1
321,10.7,candidate_1,273.1697,225.5273,0.88,red,1
322,10.733333,candidate_0,417.9298,268.0675,0.86,red,1
322,10.733333,candidate_1,269.1818,221.167,0.88,red,1
323,10.766667,candidate_0,416.6792,267.693,0.86,red,1
323,10.766667,candidate_1,272.5536,223.1919,0.95,red,1
324,10.8,candidate_0,417.2565,267.1386,0.86,red,1
324,10.8,candidate_1,265.9187,225.5145,0.88,red,1
325,10.833333,candidate_0,417.1194,265.043,0.86,red,1
325,10.833333,candidate_1,264.9285,224.2768,0.88,red,1
326,10.866667,candidate_0,420.2388,267.5493,0.86,red,1
326,10.866667,candidate_1,262.3769,219.589,0.88,red,1
327,10.9,candidate_0,420.5196,263.6091,0.86,red,1
327,10.9,candidate_1,263.1295,224.6798,0.88,red,1
328,10.933333,candidate_0,420.2952,263.7158,0.86,red,1
328,10.933333,candidate_1,261.9846,222.2464,0.88,red,1
329,10.966667,candidate_0,421.9444,263.6664,0.86,red,1
329,10.966667,candidate_1,262.5539,219.1621,0.88,red,1
330,11.0,candidate_0,421.111,262.0237,0.86,red,1
330,11.0,candidate_1,262.1488,216.5566,0.88,red,1
330,11.0,candidate_2,97.4633,387.2127,0.65,blue,1
331,11.033333,candidate_0,419.3974,262.7418,0.86,red,1
331,11.033333,candidate_1,264.2153,217.5963,0.88,red,1
332,11.066667,candidate_0,421.2358,260.4859,0.86,red,1
332,11.066667,candidate_1,263.2183,211.0278,0.88,red,1
333,11.1,candidate_0,422.982,261.4097,0.86,red,1
333,11.1,candidate_1,268.1397,213.3342,0.88,red,1
334,11.133333,candidate_0,423.264,258.6669,0.86,red,1
334,11.133333,candidate_1,266.9964,209.6312,0.88,red,1
335,11.166667,candidate_0,423.9969,261.2041,0.86,red,1
335,11.166667,candidate_1,269.959,208.58,0.88,red,1
336,11.2,candidate_0,423.9561,259.1408,0.86,red,1
336,11.2,candidate_1,271.3332,210.6555,0.88,red,1
337,11.233333,candidate_0,425.7111,258.636,0.86,red,1
337,11.233333,candidate_1,273.3103,207.4084,0.88,red,1
338,11.266667,candidate_0,427.062,257.4609,0.86,red,1
338,11.266667,candidate_1,279.3959,205.4422,0.88,red,1
339,11.3,candidate_0,425.0728,255.7099,0.86,red,1
339,11.3,candidate_1,282.9885,200.4781,0.88,red,1
340,11.333333,candidate_0,429.7736,256.3294,0.86,red,1
340,11.333333,candidate_1,284.0011,201.4425,0.88,red,1
341,11.366667,candidate_0,429.6276,253.9733,0.86,red,1
341,11.366667,candidate_1,293.6471,194.0739,0.88,red,1
341,11.366667,candidate_2,95.0335,384.1896,0.65,blue,1
342,11.4,candidate_0,428.8533,254.8557,0.86,red,1
342,11.4,candidate_1,293.7742,194.1433,0.95,red,1
343,11.433333,candidate_0,429.5941,253.5734,0.86,red,1
343,11.433333,candidate_1,298.8806,189.4248,0.88,red,1
344,11.466667,candidate_0,430.369,252.6864,0.86,red,1
344,11.466667,candidate_1,304.1419,188.0608,0.88,red,1
345,11.5,candidate_0,429.9423,250.891,0.86,red,1
345,11.5,candidate_1,308.9326,183.625,0.88,red,1
346,11.533333,candidate_0,430.5195,251.0695,0.86,red,1
346,11.533333,candidate_1,312.6422,184.4422,0.88,red,1
347,11.566667,candidate_0,430.9251,249.8676,0.86,red,1
347,11.566667,candidate_1,315.3923,181.3111,0.88,red,1
348,11.6,candidate_0,431.6865,249.3975,0.86,red,1
348,11.6,candidate_1,319.2106,179.3026,0.88,red,1
349,11.633333,candidate_0,432.4591,245.3188,0.86,red,1
349,11.633333,candidate_1,325.2639,176.91,0.88,red,1
350,11.666667,candidate_0,431.7797,246.2973,0.86,red,1
350,11.666667,candidate_1,328.5406,170.6667,0.88,red,1
351,11.7,candidate_0,433.2426,248.2117,0.86,red,1
351,11.7,candidate_1,332.6962,171.4132,0.88,red,1
352,11.733333,candidate_0,433.2232,249.3693,0.86,red,1
352,11.733333,candidate_1,338.5973,170.9921,0.88,red,1
352,11.733333,candidate_2,83.2676,395.5617,0.65,blue,1
353,11.766667,candidate_0,435.6186,244.572,0.86,red,1
353,11.766667,candidate_1,340.7101,166.0672,0.88,red,1
354,11.8,candidate_0,433.9654,244.9647,0.86,red,1
354,11.8,candidate_1,341.6944,160.2193,0.88,red,1
355,11.833333,candidate_0,432.7365,241.5805,0.86,red,1
355,11.833333,candidate_1,348.6286,156.0407,0.88,red,1
356,11.866667,candidate_0,434.9959,244.394,0.86,red,1
356,11.866667,candidate_1,347.3179,157.6355,0.88,red,1
357,11.9,candidate_0,434.0763,243.5236,0.86,red,1
357,11.9,candidate_1,352.5312,157.5601,0.88,red,1
358,11.933333,candidate_0,434.9589,241.5469,0.86,red,1
358,11.933333,candidate_1,352.3919,152.1446,0.88,red,1
359,11.966667,candidate_0,433.7452,240.1467,0.86,red,1
359,11.966667,candidate_1,358.3046,152.4404,0.88,red,1
